source1_entity_id	candidate_entity_ids
S1-239172760	S2-109064076,S2-111131531,S2-119671371,S2-156918549,S2-16411613,S2-164782049,S2-179792263,S2-189413522,S2-19372775,S2-196618803,S2-219322699,S2-219512084,S2-238473467,S2-248239730,S2-249721833,S2-263805706,S2-268350161,S2-273078526,S2-275572535,S2-279023418,S2-282118325,S2-301050410,S2-321258405,S2-337380542,S2-340977545,S2-357328816,S2-364247124,S2-395189346,S2-397774402,S2-409506475,S2-41143210,S2-425902897,S2-432279643,S2-437383509,S2-438268544,S2-452442332,S2-461744131,S2-479951722,S2-491147307,S2-500744486
S1-967435536	S2-351547499,S2-361385344,S2-111461865,S2-127357680,S2-142709390,S2-146435955,S2-150190841,S2-151983381,S2-171100423,S2-177326684,S2-224334856,S2-277201546,S2-281801530,S2-295205540,S2-31241265,S2-319075835,S2-331855957,S2-404018961,S2-417173356,S2-421078322,S2-445670871,S2-45677678,S2-466857833,S2-467121958,S2-475820176,S2-515188999,S2-544751089,S2-55444028,S2-582966594,S2-587381188,S2-587609,S2-628011193,S2-629411222,S2-631527515,S2-646244744,S2-689927505,S2-702862423,S2-725382222,S2-7265669,S2-72899391
S1-215396556	S2-316715106,S2-102474096,S2-107972106,S2-111529715,S2-120391369,S2-123459391,S2-124058961,S2-136200009,S2-149964656,S2-15374829,S2-160628395,S2-187227423,S2-192669442,S2-220614093,S2-231331977,S2-236134164,S2-239693264,S2-248671043,S2-250242886,S2-25613790,S2-274323360,S2-274836469,S2-28490303,S2-293687478,S2-349064775,S2-402903483,S2-420134756,S2-435514686,S2-450090007,S2-453687448,S2-456049742,S2-461000811,S2-472404132,S2-488565793,S2-497735228,S2-500096956,S2-536777587,S2-561098063,S2-566822965,S2-568440633
S1-36985251	S2-240841658,S2-372009024,S2-459023875,S2-459313188,S2-621613610,S2-76923389,S2-819100274,S2-906838670,S2-97518398,S2-156240517,S2-20116589,S2-205768809,S2-265773277,S2-4248647,S2-446295389,S2-576190657,S2-72907989,S2-809094962,S2-870527014,S2-956067903,S2-974148905
S1-250942341	S2-10985621,S2-120614992,S2-126450313,S2-127928747,S2-132712335,S2-133399775,S2-149771411,S2-15025788,S2-15919698,S2-161564769,S2-163093599,S2-166632465,S2-180691159,S2-184894061,S2-193874788,S2-195772349,S2-203962033,S2-212023070,S2-215305325,S2-216539054,S2-228980697,S2-230606624,S2-244886524,S2-250455982,S2-250788994,S2-259323526,S2-272546465,S2-272901567,S2-284104627,S2-284803764,S2-286043316,S2-286812037,S2-289498571,S2-297926954,S2-307842082,S2-319608192,S2-321253688,S2-321789018,S2-330149003,S2-331695288
S1-124034271	S2-328405428,S2-280732932,S2-502013653,S2-60717436,S2-711332890,S2-784075198,S2-896852569,S2-92578973,S2-101780727,S2-104697101,S2-108887187,S2-11196630,S2-124487160,S2-127991735,S2-135347350,S2-144002220,S2-144861464,S2-146555727,S2-147235344,S2-155904915,S2-158882780,S2-167335410,S2-170012434,S2-178777487,S2-183075751,S2-188695504,S2-217337061,S2-230657819,S2-233248001,S2-256269130,S2-258078518,S2-259185674,S2-26528208,S2-265499521,S2-286270410,S2-292552164,S2-293455268,S2-311092496,S2-314962689,S2-330980029
S1-610665482	S2-20665708,S2-217337061,S2-218203548,S2-452987141,S2-486339029,S2-49139217,S2-4916970,S2-502108782,S2-513002614,S2-546238659,S2-582631327,S2-647835635,S2-650048896,S2-788985348,S2-789630201,S2-857920251,S2-943256983,S2-943535519,S2-979615453,S2-988576740,S2-101780727,S2-102072426,S2-103317508,S2-104697101,S2-105845989,S2-107690513,S2-108887187,S2-111216682,S2-11196630,S2-112267485,S2-115356634,S2-116189378,S2-121347941,S2-12181937,S2-125247238,S2-12691971,S2-129281438,S2-129565558,S2-130549409,S2-130887373
S1-247132924	S2-193729928,S2-19578475,S2-302049395,S2-341380543,S2-428093564,S2-434587276,S2-474580049,S2-508487309,S2-606740532,S2-611880888,S2-6658650,S2-781363735,S2-888176840,S2-939079087,S2-126049626,S2-139719497,S2-164976993,S2-18635222,S2-192827750,S2-260121473,S2-308187610,S2-333694748,S2-350228981,S2-379205310,S2-47531931,S2-529057484,S2-53313630,S2-557596124,S2-560883062,S2-622832394,S2-655987979,S2-657877197,S2-707420806,S2-767469705,S2-777373869,S2-857865408,S2-89499993,S2-934608391,S2-939986664,S2-70038977
S1-535936959	S2-123964652,S2-150568875,S2-175559786,S2-245829931,S2-362472626,S2-377223089,S2-485775575,S2-615005548,S2-663238380,S2-67760260,S2-738727396,S2-821714117,S2-902889878,S2-996063982,S2-123336815,S2-177672595,S2-212646501,S2-252321761,S2-261701530,S2-290250154,S2-29173229,S2-30848241,S2-329704718,S2-364290736,S2-43941906,S2-485300251,S2-524187847,S2-553193794,S2-598069809,S2-603128651,S2-7588016,S2-777245399,S2-87207258
S1-154180077	S2-169560340,S2-100901770,S2-10950521,S2-116958442,S2-122918631,S2-126681458,S2-134770421,S2-137989962,S2-141268529,S2-143268653,S2-143475984,S2-144066810,S2-144273324,S2-14712608,S2-147625317,S2-163612231,S2-165280184,S2-165627254,S2-17265460,S2-17354631,S2-174133675,S2-181641016,S2-187576771,S2-210919647,S2-220286148,S2-222273464,S2-223892157,S2-228441033,S2-234982389,S2-240276572,S2-242961655,S2-244471300,S2-248864495,S2-258598620,S2-260489214,S2-262190530,S2-262378104,S2-263669606,S2-271408749,S2-278352906
S1-29661695	S2-218208532,S2-253709551,S2-877617898,S2-100601479,S2-168399481,S2-27297350,S2-279267004,S2-350985725,S2-518872573,S2-674732557,S2-701068621,S2-870477120,S2-101673029,S2-102202242,S2-104925049,S2-111056035,S2-113064990,S2-120830994,S2-128356611,S2-128924658,S2-132259578,S2-133367669,S2-13565132,S2-143852128,S2-145060112,S2-149623933,S2-154339675,S2-156099324,S2-158641226,S2-170738179,S2-172058052,S2-173951832,S2-18760946,S2-187725004,S2-188813326,S2-190315479,S2-193504416,S2-205172165,S2-205496240,S2-206008085
S1-117094654	S2-500012176,S2-112997685,S2-129437880,S2-152110557,S2-156054800,S2-165644805,S2-190798105,S2-191649187,S2-204763383,S2-240276572,S2-251149385,S2-305050596,S2-350659635,S2-355667090,S2-375495827,S2-377311367,S2-385173809,S2-392522102,S2-407248579,S2-448191173,S2-491171216,S2-52328579,S2-5337215,S2-537854766,S2-56713360,S2-573327454,S2-577309568,S2-637236275,S2-669005917,S2-681167755,S2-682144149,S2-708883856,S2-71928099,S2-735792186,S2-759035314,S2-779072102,S2-826016808,S2-860438718,S2-871708021,S2-899538024
S1-218685314	S2-10776474,S2-109623307,S2-116894160,S2-116895353,S2-117568512,S2-117927544,S2-132323002,S2-132780702,S2-137335733,S2-141203706,S2-146417701,S2-159932518,S2-174069908,S2-175559786,S2-178967093,S2-183479024,S2-184299435,S2-190176249,S2-194518373,S2-196204984,S2-19936140,S2-200574419,S2-204417052,S2-211698892,S2-215281349,S2-217360345,S2-236037396,S2-243627614,S2-249313801,S2-253299810,S2-256815199,S2-264927097,S2-27535785,S2-275404449,S2-278899754,S2-279373750,S2-279812084,S2-292170458,S2-293675262,S2-303234792
S1-656199802	S2-102509620,S2-108868655,S2-123641424,S2-123964652,S2-134710405,S2-134796146,S2-138039475,S2-144841979,S2-148006268,S2-150284085,S2-167496095,S2-178231625,S2-178937252,S2-184299435,S2-186039838,S2-198717453,S2-215063815,S2-224083706,S2-23854429,S2-246634402,S2-257991887,S2-273014541,S2-277830258,S2-278721294,S2-279445642,S2-28381925,S2-286266830,S2-290899179,S2-294829735,S2-305926086,S2-306464045,S2-306586009,S2-328590926,S2-332862341,S2-3414499,S2-342093717,S2-364871032,S2-366350374,S2-386534018,S2-386608208
S1-568217118	S2-160972842,S2-537309745,S2-711369311,S2-824227829,S2-876307931,S2-904552380,S2-348649320,S2-103372442,S2-119331876,S2-126429420,S2-299335327,S2-313502741,S2-328416328,S2-350436252,S2-352869641,S2-438256596,S2-541745382,S2-553209769,S2-602285558,S2-616757134,S2-619597768,S2-621201681,S2-632258374,S2-657092756,S2-6714040,S2-678020161,S2-724723594,S2-727004670,S2-729771449,S2-770995776,S2-779282472,S2-794431292,S2-798676170,S2-810878974,S2-815715794,S2-891326783,S2-912563194,S2-945707881,S2-957524358,S2-958055391
S1-502391969	S2-7331264,S2-128213271,S2-15518868,S2-176116039,S2-208680051,S2-275329530,S2-297116737,S2-380743763,S2-405196382,S2-431351732,S2-45504738,S2-510424275,S2-514513213,S2-539943184,S2-579447052,S2-59600987,S2-596450261,S2-638395538,S2-689303097,S2-769858942,S2-819242441,S2-822306744,S2-848927695,S2-878026783,S2-905049598,S2-911753751,S2-91808724,S2-927980070,S2-929700754,S2-195138230,S2-379148682,S2-556661926,S2-803114028,S2-139539181,S2-143817174,S2-164413816,S2-299415493,S2-339097654,S2-346945355,S2-543942044
S1-246478198	S2-968246739,S2-151322413,S2-175310560,S2-253663148,S2-256692563,S2-260664935,S2-279333918,S2-327269952,S2-439303984,S2-608496926,S2-635208113,S2-679724464,S2-7121075,S2-749380632,S2-757329008,S2-773092564,S2-802670510,S2-807828911,S2-80942167,S2-365111685,S2-79796737,S2-148679339,S2-177266238,S2-825044362,S2-165863386,S2-871870024,S2-894066769,S2-895296486,S2-968334902,S2-100331681,S2-104699931,S2-106248676,S2-108259617,S2-108794551,S2-109143719,S2-110343431,S2-110549915,S2-110852440,S2-11459613,S2-116661379
S1-131038804	S2-168767588,S2-28770178,S2-456451002,S2-473427061,S2-475618120,S2-49068773,S2-648116305,S2-682450228,S2-779802137,S2-788776438,S2-948932247,S2-97176259,S2-762706197,S2-96541745,S2-961183932,S2-980305187,S2-145384447,S2-345921177,S2-459023875,S2-550153340,S2-574012282,S2-579797273,S2-593487033,S2-628957009,S2-84899626,S2-91690570,S2-919343025,S2-101808449,S2-102677,S2-106261579,S2-107369086,S2-107569041,S2-109161598,S2-109862055,S2-111908242,S2-113163500,S2-114762618,S2-114853591,S2-118730390,S2-121600861
S1-625772184	S2-104193059,S2-127417961,S2-14296114,S2-145131937,S2-147122423,S2-15241240,S2-155487435,S2-170181433,S2-184993338,S2-198306291,S2-220022698,S2-228821771,S2-229539144,S2-259947941,S2-275006857,S2-371189271,S2-388665946,S2-454168425,S2-485521449,S2-501413933,S2-514853366,S2-554199989,S2-578913330,S2-624090422,S2-633281737,S2-643947175,S2-661582824,S2-694505829,S2-717091485,S2-73748059,S2-744614392,S2-754236886,S2-757234757,S2-759702981,S2-785903524,S2-786919776,S2-797257293,S2-805469202,S2-818931308,S2-843984025
S1-755575907	S2-363838256,S2-862484170,S2-136113375,S2-292985335,S2-30769224,S2-326226788,S2-372769846,S2-388362035,S2-457227128,S2-472339240,S2-520830349,S2-523245115,S2-527585890,S2-57571090,S2-620123006,S2-623988293,S2-764009351,S2-799154869,S2-853701696,S2-94191829,S2-953597217,S2-102409556,S2-118527996,S2-151589139,S2-156623730,S2-172803196,S2-174609481,S2-216434283,S2-219374527,S2-226551251,S2-237238619,S2-23901043,S2-249923892,S2-271259295,S2-277032270,S2-298056918,S2-359388553,S2-36568061,S2-371042480,S2-377924398
S1-919231695	S2-139603809,S2-150814682,S2-182789318,S2-213208828,S2-225037888,S2-258676677,S2-266101971,S2-272004093,S2-308329661,S2-321991349,S2-508632479,S2-535109554,S2-539393537,S2-558486436,S2-56105139,S2-589161213,S2-594064798,S2-621497277,S2-622773844,S2-640723488,S2-641344610,S2-684555226,S2-69614578,S2-715375320,S2-735560077,S2-73664446,S2-766200550,S2-791429680,S2-803596169,S2-812320141,S2-818696988,S2-839252781,S2-844735754,S2-871163588,S2-940086754,S2-941763879,S2-945865905,S2-973809049,S2-982091290,S2-994827565
S1-174390454	S2-794005478,S2-953885055,S2-130855524,S2-522080044,S2-652758400,S2-328893468,S2-417828606,S2-105761953,S2-106383133,S2-110549915,S2-114657503,S2-119087459,S2-119907794,S2-133651279,S2-133692655,S2-133774508,S2-135210500,S2-136991143,S2-137935394,S2-138513768,S2-141495873,S2-142662074,S2-14349697,S2-145379986,S2-146977542,S2-148679339,S2-150097313,S2-1523325,S2-153559021,S2-168114212,S2-17336894,S2-176598743,S2-177266238,S2-177918546,S2-184083776,S2-184535408,S2-185920568,S2-185972408,S2-191091037,S2-194547656
S1-737991030	S2-559346265,S2-101535200,S2-106781499,S2-108228337,S2-109064076,S2-111131531,S2-114663148,S2-119671371,S2-127765724,S2-130141140,S2-133612925,S2-143019922,S2-145131937,S2-156918549,S2-160069423,S2-160464399,S2-163881979,S2-16411613,S2-164151064,S2-164646602,S2-164782049,S2-165863386,S2-172136342,S2-179792263,S2-180473100,S2-189413522,S2-189607674,S2-19372775,S2-194547656,S2-196618803,S2-201497611,S2-201875834,S2-211420016,S2-213952496,S2-215169300,S2-216377044,S2-219322699,S2-219512084,S2-237273862,S2-237386533
S1-892690805	S2-201379687,S2-340397246,S2-765796593,S2-174238086,S2-30228438,S2-338981034,S2-353988421,S2-395111508,S2-469404980,S2-569609150,S2-673396381,S2-687709447,S2-697677316,S2-755634865,S2-810366181,S2-857638134,S2-873486559,S2-912707500,S2-103356275,S2-142377622,S2-153476718,S2-162652960,S2-181920800,S2-18531484,S2-192533778,S2-201272956,S2-23228510,S2-26395860,S2-271230693,S2-277378992,S2-277696278,S2-297071035,S2-324925211,S2-34899163,S2-351925196,S2-422082433,S2-46357618,S2-483282018,S2-51134911,S2-535498418
S1-694786973	S2-148968056,S2-291453277,S2-51175311,S2-550680273,S2-600907459,S2-616853527,S2-722009050,S2-103888536,S2-12685109,S2-155443822,S2-210156435,S2-240477809,S2-258235522,S2-313217352,S2-329808640,S2-336364837,S2-364820336,S2-447106323,S2-455013755,S2-471456098,S2-511106943,S2-530253274,S2-539531490,S2-544417919,S2-551305338,S2-56402638,S2-576682647,S2-614938749,S2-618734076,S2-670851629,S2-747373200,S2-798761879,S2-152587093,S2-161213241,S2-211126789,S2-220997153,S2-280510986,S2-33112928,S2-362715401,S2-397620598
S1-778632723	S2-103636129,S2-119421000,S2-157695826,S2-161956716,S2-210712486,S2-220596390,S2-238646336,S2-257923513,S2-26126776,S2-264187723,S2-27041274,S2-3072135,S2-316212117,S2-322926562,S2-348173686,S2-371867210,S2-446798463,S2-456333971,S2-47720371,S2-497225212,S2-569007716,S2-60963378,S2-645008402,S2-679375932,S2-681932720,S2-689834927,S2-698458738,S2-703536654,S2-703594998,S2-727006455,S2-775649499,S2-787582683,S2-804872908,S2-828034699,S2-862633191,S2-877875891,S2-911546090,S2-940469449,S2-973292523,S2-97437306
S1-493944613	S2-444720240,S2-110047726,S2-534420283,S2-816942970,S2-905318088,S2-99140016
S1-932911903	S2-226970868,S2-968452252,S2-105388736,S2-172206969,S2-185089731,S2-303036192,S2-30447286,S2-334427383,S2-382670716,S2-420385975,S2-447344782,S2-461421504,S2-478416988,S2-479081815,S2-510830953,S2-52221155,S2-683847583,S2-728264325,S2-734943613,S2-761753097,S2-851100274,S2-912156807,S2-912726333,S2-938858787,S2-946342939,S2-977755197,S2-985102011,S2-991474403
S1-305783479	S2-229124349,S2-5272332,S2-627622366,S2-512158236,S2-173494871,S2-352986236,S2-36402841,S2-558528223,S2-610308265,S2-623028024,S2-11556516,S2-12510858,S2-230472071,S2-316855962,S2-360848549,S2-682423380,S2-813862982,S2-931263231,S2-111216682,S2-140006950,S2-143701751,S2-148116189,S2-161578601,S2-170993862,S2-177994544,S2-232484718,S2-233636231,S2-236249801,S2-255047572,S2-256236598,S2-256286125,S2-267930321,S2-271964003,S2-274830600,S2-280914970,S2-288876988,S2-289706136,S2-300559990,S2-350597533,S2-359997566
S1-273577921	S2-157842177,S2-187777854,S2-194918225,S2-236991004,S2-260805156,S2-303635913,S2-3718656,S2-471762289,S2-476169020,S2-556984109,S2-613622293,S2-642354090,S2-651895285,S2-67322077,S2-683978382,S2-721549878,S2-824397153,S2-833433743,S2-840895255,S2-84747280,S2-876672998,S2-908317707,S2-940074301,S2-948633086,S2-950225288,S2-965274658,S2-100535242,S2-100601479,S2-101109194,S2-10136142,S2-101720861,S2-103483571,S2-105274406,S2-108444869,S2-10985621,S2-109908222,S2-110746500,S2-112436185,S2-115467558,S2-11673139
S1-113308274	S2-253289033,S2-17518111,S2-182288977,S2-193442566,S2-279234468,S2-322831392,S2-471713609,S2-505615047,S2-629880378,S2-641683755,S2-662229343,S2-698323752,S2-748703576,S2-756732012,S2-760910468,S2-874262655,S2-89632350,S2-928837660,S2-98078456,S2-991589426,S2-114238114,S2-183683146,S2-317645819,S2-342332137,S2-353035944,S2-66780391,S2-782226973,S2-917066665,S2-598504921,S2-8049142,S2-101192551,S2-104641729,S2-108868655,S2-109147488,S2-110911063,S2-114113860,S2-117978268,S2-118516014,S2-12094352,S2-122726455
S1-324907389	S2-395857901,S2-464468614,S2-580976257,S2-684531221,S2-774357496,S2-963793978,S2-101808449,S2-105041837,S2-121212035,S2-165306983,S2-176438515,S2-179315628,S2-19297940,S2-213261652,S2-218217567,S2-277184030,S2-280734673,S2-355850758,S2-376314138,S2-379879952,S2-410470450,S2-418691151,S2-429291272,S2-432528129,S2-442898319,S2-444618471,S2-447491469,S2-464924528,S2-479860266,S2-522616556,S2-531223664,S2-683055877,S2-711639132,S2-737521149,S2-738317221,S2-766200550,S2-804739787,S2-811628715,S2-828500216,S2-884757202
S1-354996295	S2-210783599,S2-301479368,S2-435849069,S2-569456828,S2-680312642,S2-180521991,S2-415413684,S2-421126862,S2-505223631,S2-545672092,S2-731413227,S2-763663684,S2-76561277,S2-820643946,S2-102409556,S2-102620713,S2-104643233,S2-105886630,S2-108977786,S2-109908222,S2-117150311,S2-117962152,S2-11804033,S2-118527996,S2-118730390,S2-118997643,S2-120597036,S2-120614992,S2-12066237,S2-121115280,S2-12407936,S2-126794277,S2-127525442,S2-12967551,S2-133322005,S2-13565132,S2-136113375,S2-136235489,S2-140917061,S2-141123004
S1-382435344	S2-179889434,S2-199409259,S2-206603732,S2-238971069,S2-266868981,S2-276863393,S2-286244243,S2-294884494,S2-304210462,S2-310340192,S2-318964862,S2-335371,S2-357995340,S2-365786634,S2-368389963,S2-466830047,S2-467659970,S2-504352793,S2-515189936,S2-51547705,S2-530218826,S2-546407954,S2-557520173,S2-563160269,S2-566627479,S2-574056715,S2-576030535,S2-58897609,S2-600433503,S2-617821075,S2-619730998,S2-627328508,S2-657049017,S2-675404112,S2-679381757,S2-711659066,S2-732427352,S2-741154042,S2-748555281,S2-758157719
S1-774387323	S2-101617662,S2-167541640,S2-172617808,S2-175337102,S2-185654339,S2-242049796,S2-29031481,S2-298971264,S2-316849024,S2-353698613,S2-370506111,S2-419481158,S2-468723833,S2-487283019,S2-498045414,S2-596489524,S2-612491142,S2-617178523,S2-61847090,S2-623626120,S2-631547814,S2-674732557,S2-685777048,S2-69608051,S2-735045630,S2-736136155,S2-797025863,S2-802011689,S2-802951736,S2-813775125,S2-845330513,S2-847438252,S2-878371458,S2-91662314,S2-93682438,S2-938612654,S2-956250774,S2-973407080,S2-986768691,S2-491898132
S1-557399885	S2-48963502,S2-13478829,S2-241538826,S2-247310229,S2-513019344,S2-549532736,S2-556463742,S2-605998161,S2-687291032,S2-71906865,S2-732156377,S2-732819604,S2-736543911,S2-777364829,S2-991507759
